Training started at: 2025-03-09 23:58:06
Epoch [10/200], Train loss: 15.1430, Val loss: 10.947476964044183, Learning Rate = 0.0500
Epoch [20/200], Train loss: 14.9784, Val loss: 10.993476957109621, Learning Rate = 0.0500
Epoch [30/200], Train loss: 13.9500, Val loss: 10.398991989809936, Learning Rate = 0.0100
Epoch [40/200], Train loss: 13.6995, Val loss: 10.143024771357572, Learning Rate = 0.0100
Epoch [50/200], Train loss: 13.4202, Val loss: 9.937431342328745, Learning Rate = 0.0020
Epoch [60/200], Train loss: 13.3478, Val loss: 9.869895432853182, Learning Rate = 0.0020
Epoch [70/200], Train loss: 13.2748, Val loss: 9.988811248696743, Learning Rate = 0.0004
Epoch [80/200], Train loss: 13.1452, Val loss: 9.889719310378684, Learning Rate = 0.0004
Epoch [90/200], Train loss: 13.2283, Val loss: 9.847957875945742, Learning Rate = 0.0004
Epoch [100/200], Train loss: 13.2049, Val loss: 9.914715504624803, Learning Rate = 0.0001
Epoch [110/200], Train loss: 13.1948, Val loss: 9.89340487893795, Learning Rate = 0.0001
Epoch [120/200], Train loss: 13.1469, Val loss: 9.828042032914295, Learning Rate = 0.0001
Epoch [130/200], Train loss: 13.1916, Val loss: 9.69233281210374, Learning Rate = 0.0001
Epoch [140/200], Train loss: 13.1887, Val loss: 9.77179088540933, Learning Rate = 0.0001
Epoch [150/200], Train loss: 13.2180, Val loss: 9.821443439067432, Learning Rate = 0.0001
Epoch [160/200], Train loss: 13.1940, Val loss: 9.780733925464242, Learning Rate = 0.0001
Epoch [170/200], Train loss: 13.2114, Val loss: 9.724161352737193, Learning Rate = 0.0001
Epoch [180/200], Train loss: 13.1613, Val loss: 9.67752486590978, Learning Rate = 0.0001
Epoch [190/200], Train loss: 13.1908, Val loss: 9.62113369252899, Learning Rate = 0.0001
Epoch [200/200], Train loss: 13.1800, Val loss: 9.791528507435611, Learning Rate = 0.0001
Training finished at: 2025-03-10 00:02:02
Total training time: 0:03:58
