Training started at: 2025-03-10 21:41:22
Epoch [10/300], Train loss: 15.2345, Val loss: 14.640918508104852, Learning Rate = 0.0700
Epoch [20/300], Train loss: 14.6669, Val loss: 15.246420940265018, Learning Rate = 0.0700
Epoch [30/300], Train loss: 15.2394, Val loss: 14.33901074945228, Learning Rate = 0.0700
Epoch [40/300], Train loss: 13.8502, Val loss: 13.72465978816783, Learning Rate = 0.0140
Epoch [50/300], Train loss: 13.3646, Val loss: 13.219784666978098, Learning Rate = 0.0140
Epoch [60/300], Train loss: 13.1880, Val loss: 13.07956421063546, Learning Rate = 0.0140
Epoch [70/300], Train loss: 13.0253, Val loss: 13.03228759765625, Learning Rate = 0.0140
Epoch [80/300], Train loss: 12.8774, Val loss: 12.812484135812634, Learning Rate = 0.0140
Epoch [90/300], Train loss: 12.6856, Val loss: 12.68208101098875, Learning Rate = 0.0140
Epoch [100/300], Train loss: 12.5290, Val loss: 12.385844940102993, Learning Rate = 0.0028
Epoch [110/300], Train loss: 12.4806, Val loss: 12.407210285541064, Learning Rate = 0.0028
Epoch [120/300], Train loss: 12.4579, Val loss: 12.170446356316749, Learning Rate = 0.0006
Epoch [130/300], Train loss: 12.4309, Val loss: 12.481106261931851, Learning Rate = 0.0006
Epoch [140/300], Train loss: 12.4297, Val loss: 12.337619007547445, Learning Rate = 0.0001
Epoch [150/300], Train loss: 12.3854, Val loss: 12.27980367593447, Learning Rate = 0.0001
Epoch [160/300], Train loss: 12.4463, Val loss: 12.265333844693101, Learning Rate = 0.0001
Epoch [170/300], Train loss: 12.3815, Val loss: 12.4923720639283, Learning Rate = 0.0001
Epoch [180/300], Train loss: 12.4165, Val loss: 12.462537347571715, Learning Rate = 0.0001
Epoch [190/300], Train loss: 12.4166, Val loss: 12.137871098152896, Learning Rate = 0.0001
Epoch [200/300], Train loss: 12.3432, Val loss: 12.149538540646661, Learning Rate = 0.0001
Epoch [210/300], Train loss: 12.4396, Val loss: 12.437765687300988, Learning Rate = 0.0001
Epoch [220/300], Train loss: 12.3890, Val loss: 12.263052139763793, Learning Rate = 0.0001
Epoch [230/300], Train loss: 12.3728, Val loss: 12.228353006760207, Learning Rate = 0.0001
Epoch [240/300], Train loss: 12.3801, Val loss: 12.151824786063246, Learning Rate = 0.0001
Epoch [250/300], Train loss: 12.4453, Val loss: 12.458875293232923, Learning Rate = 0.0001
Epoch [260/300], Train loss: 12.4158, Val loss: 12.330756281172508, Learning Rate = 0.0001
Epoch [270/300], Train loss: 12.4093, Val loss: 12.195578228578146, Learning Rate = 0.0001
Epoch [280/300], Train loss: 12.4002, Val loss: 12.236587648245534, Learning Rate = 0.0001
Epoch [290/300], Train loss: 12.3870, Val loss: 12.126730214592785, Learning Rate = 0.0001
Epoch [300/300], Train loss: 12.3327, Val loss: 12.402634010968496, Learning Rate = 0.0001
Training finished at: 2025-03-10 21:47:18
Total training time: 0:05:56
