Training started at: 2025-03-11 00:33:34
Epoch [10/200], Train loss: 13.0995, Val loss: 10.172085733645881, Learning Rate = 0.0700
Epoch [20/200], Train loss: 12.0819, Val loss: 10.186359594704548, Learning Rate = 0.0700
Epoch [30/200], Train loss: 12.2152, Val loss: 9.519317104109135, Learning Rate = 0.0700
Epoch [40/200], Train loss: 12.0227, Val loss: 9.331393435368998, Learning Rate = 0.0700
Epoch [50/200], Train loss: 12.0998, Val loss: 8.921471364440093, Learning Rate = 0.0700
Epoch [60/200], Train loss: 11.3177, Val loss: 8.679000648106403, Learning Rate = 0.0140
Epoch [70/200], Train loss: 10.9935, Val loss: 8.352038673283927, Learning Rate = 0.0140
Epoch [80/200], Train loss: 10.9695, Val loss: 8.39741327614264, Learning Rate = 0.0140
Epoch [90/200], Train loss: 10.9301, Val loss: 8.354810241754254, Learning Rate = 0.0140
Epoch [100/200], Train loss: 10.9681, Val loss: 8.289953426158139, Learning Rate = 0.0140
Epoch [110/200], Train loss: 10.8224, Val loss: 8.192326400385342, Learning Rate = 0.0140
Epoch [120/200], Train loss: 10.8177, Val loss: 8.133818121618575, Learning Rate = 0.0140
Epoch [130/200], Train loss: 10.6993, Val loss: 8.040793663967397, Learning Rate = 0.0140
Epoch [140/200], Train loss: 10.7251, Val loss: 7.961283017322757, Learning Rate = 0.0140
Epoch [150/200], Train loss: 10.6196, Val loss: 7.895516067931413, Learning Rate = 0.0140
Epoch [160/200], Train loss: 10.5625, Val loss: 7.872855679208465, Learning Rate = 0.0140
Epoch [170/200], Train loss: 10.5314, Val loss: 7.8566608342961, Learning Rate = 0.0140
Epoch [180/200], Train loss: 10.5738, Val loss: 7.818119307054498, Learning Rate = 0.0140
Epoch [190/200], Train loss: 10.5396, Val loss: 7.8614807954449395, Learning Rate = 0.0140
Epoch [200/200], Train loss: 10.5540, Val loss: 7.8189726985178085, Learning Rate = 0.0140
Training finished at: 2025-03-11 00:34:12
Total training time: 0:00:38
